# Frame_Number,Timestamp_Unix,Timestamp_Human_Readable
0,1744787000.383956,2025-04-16 03:03:20.383
1,1744787000.739956,2025-04-16 03:03:20.739
2,1744787000.963956,2025-04-16 03:03:20.963
3,1744787001.181956,2025-04-16 03:03:21.181
4,1744787001.413956,2025-04-16 03:03:21.413
5,1744787001.775956,2025-04-16 03:03:21.775
6,1744787002.007956,2025-04-16 03:03:22.007
7,1744787002.220956,2025-04-16 03:03:22.220
8,1744787002.429956,2025-04-16 03:03:22.429
9,1744787002.688956,2025-04-16 03:03:22.688
10,1744787002.933956,2025-04-16 03:03:22.933
11,1744787003.197956,2025-04-16 03:03:23.197
12,1744787003.412956,2025-04-16 03:03:23.412
13,1744787003.624956,2025-04-16 03:03:23.624
14,1744787003.941956,2025-04-16 03:03:23.941
15,1744787004.215956,2025-04-16 03:03:24.215
16,1744787004.542956,2025-04-16 03:03:24.542
17,1744787004.812956,2025-04-16 03:03:24.812
18,1744787005.100956,2025-04-16 03:03:25.100
19,1744787005.394956,2025-04-16 03:03:25.394
20,1744787005.640956,2025-04-16 03:03:25.640
21,1744787005.968956,2025-04-16 03:03:25.968
22,1744787006.262956,2025-04-16 03:03:26.262
23,1744787006.484956,2025-04-16 03:03:26.484
24,1744787006.698956,2025-04-16 03:03:26.698
25,1744787006.933956,2025-04-16 03:03:26.933
26,1744787007.152956,2025-04-16 03:03:27.152
27,1744787007.386956,2025-04-16 03:03:27.386
28,1744787007.639956,2025-04-16 03:03:27.639
29,1744787007.909956,2025-04-16 03:03:27.909
30,1744787008.207956,2025-04-16 03:03:28.207
31,1744787008.561956,2025-04-16 03:03:28.561
32,1744787008.798956,2025-04-16 03:03:28.798
33,1744787009.071956,2025-04-16 03:03:29.071
34,1744787009.339956,2025-04-16 03:03:29.339
35,1744787009.730956,2025-04-16 03:03:29.730
36,1744787010.016956,2025-04-16 03:03:30.016
37,1744787010.343956,2025-04-16 03:03:30.343
38,1744787010.593956,2025-04-16 03:03:30.593
39,1744787010.835956,2025-04-16 03:03:30.835
40,1744787011.051956,2025-04-16 03:03:31.051
41,1744787011.313956,2025-04-16 03:03:31.313
42,1744787011.560956,2025-04-16 03:03:31.560
43,1744787011.784956,2025-04-16 03:03:31.784
44,1744787012.016956,2025-04-16 03:03:32.016
45,1744787012.363956,2025-04-16 03:03:32.363
46,1744787012.590956,2025-04-16 03:03:32.590
47,1744787012.791956,2025-04-16 03:03:32.791
48,1744787013.012956,2025-04-16 03:03:33.012
49,1744787013.227956,2025-04-16 03:03:33.227
50,1744787013.432956,2025-04-16 03:03:33.432
51,1744787013.655956,2025-04-16 03:03:33.655
52,1744787013.875956,2025-04-16 03:03:33.875
53,1744787014.079956,2025-04-16 03:03:34.079
54,1744787014.325956,2025-04-16 03:03:34.325
55,1744787014.563956,2025-04-16 03:03:34.563
56,1744787014.796956,2025-04-16 03:03:34.796
57,1744787015.013956,2025-04-16 03:03:35.013
58,1744787015.286956,2025-04-16 03:03:35.286
59,1744787015.480956,2025-04-16 03:03:35.480
60,1744787015.686956,2025-04-16 03:03:35.686
61,1744787015.907956,2025-04-16 03:03:35.907
62,1744787016.119956,2025-04-16 03:03:36.119
63,1744787016.370956,2025-04-16 03:03:36.370
64,1744787016.646956,2025-04-16 03:03:36.646
65,1744787016.972956,2025-04-16 03:03:36.972
66,1744787017.280956,2025-04-16 03:03:37.280
67,1744787017.490956,2025-04-16 03:03:37.490
68,1744787017.739956,2025-04-16 03:03:37.739
69,1744787017.953956,2025-04-16 03:03:37.953
70,1744787018.168956,2025-04-16 03:03:38.168
71,1744787018.376956,2025-04-16 03:03:38.376
72,1744787018.593956,2025-04-16 03:03:38.593
73,1744787018.789956,2025-04-16 03:03:38.789
74,1744787018.997956,2025-04-16 03:03:38.997
75,1744787019.197956,2025-04-16 03:03:39.197
76,1744787019.392956,2025-04-16 03:03:39.392
77,1744787019.655956,2025-04-16 03:03:39.655
78,1744787019.906956,2025-04-16 03:03:39.906
79,1744787020.117956,2025-04-16 03:03:40.117
80,1744787020.353956,2025-04-16 03:03:40.353
81,1744787020.575956,2025-04-16 03:03:40.575
82,1744787020.792956,2025-04-16 03:03:40.792
83,1744787021.084956,2025-04-16 03:03:41.084
84,1744787021.424956,2025-04-16 03:03:41.424
85,1744787021.704956,2025-04-16 03:03:41.704
86,1744787022.029956,2025-04-16 03:03:42.029
87,1744787022.468956,2025-04-16 03:03:42.468
