# Frame_Number,Timestamp_Unix,Timestamp_Human_Readable
0,1744787319.433956,2025-04-16 03:08:39.433
1,1744787319.804956,2025-04-16 03:08:39.804
2,1744787320.134956,2025-04-16 03:08:40.134
3,1744787320.499956,2025-04-16 03:08:40.499
4,1744787320.873956,2025-04-16 03:08:40.873
5,1744787321.127956,2025-04-16 03:08:41.127
6,1744787321.383956,2025-04-16 03:08:41.383
7,1744787321.667956,2025-04-16 03:08:41.667
8,1744787321.892956,2025-04-16 03:08:41.892
9,1744787322.100956,2025-04-16 03:08:42.100
10,1744787322.464956,2025-04-16 03:08:42.464
11,1744787322.720956,2025-04-16 03:08:42.720
12,1744787323.006956,2025-04-16 03:08:43.006
13,1744787323.314956,2025-04-16 03:08:43.314
14,1744787323.563956,2025-04-16 03:08:43.563
15,1744787323.849956,2025-04-16 03:08:43.849
16,1744787324.133956,2025-04-16 03:08:44.133
17,1744787324.382956,2025-04-16 03:08:44.382
18,1744787324.685956,2025-04-16 03:08:44.685
19,1744787325.001956,2025-04-16 03:08:45.001
20,1744787325.339956,2025-04-16 03:08:45.339
21,1744787325.550956,2025-04-16 03:08:45.550
22,1744787325.843956,2025-04-16 03:08:45.843
23,1744787326.225956,2025-04-16 03:08:46.225
24,1744787326.602956,2025-04-16 03:08:46.602
25,1744787326.957956,2025-04-16 03:08:46.957
26,1744787327.318956,2025-04-16 03:08:47.318
27,1744787327.731956,2025-04-16 03:08:47.731
28,1744787328.084956,2025-04-16 03:08:48.084
29,1744787328.454956,2025-04-16 03:08:48.454
30,1744787328.825956,2025-04-16 03:08:48.825
31,1744787329.089956,2025-04-16 03:08:49.089
32,1744787329.482956,2025-04-16 03:08:49.482
33,1744787329.827956,2025-04-16 03:08:49.827
34,1744787330.133956,2025-04-16 03:08:50.133
35,1744787330.491956,2025-04-16 03:08:50.491
36,1744787330.896956,2025-04-16 03:08:50.896
37,1744787331.280956,2025-04-16 03:08:51.280
38,1744787331.538956,2025-04-16 03:08:51.538
39,1744787331.850956,2025-04-16 03:08:51.850
40,1744787332.085956,2025-04-16 03:08:52.085
41,1744787332.294956,2025-04-16 03:08:52.294
42,1744787332.663956,2025-04-16 03:08:52.663
43,1744787333.021956,2025-04-16 03:08:53.021
44,1744787333.402956,2025-04-16 03:08:53.402
45,1744787333.790956,2025-04-16 03:08:53.790
46,1744787334.128956,2025-04-16 03:08:54.128
47,1744787334.412956,2025-04-16 03:08:54.412
48,1744787334.802956,2025-04-16 03:08:54.802
49,1744787335.099956,2025-04-16 03:08:55.099
50,1744787335.434956,2025-04-16 03:08:55.434
51,1744787335.735956,2025-04-16 03:08:55.735
