frame,timestamp,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,fps,confidence,tracking_status
1,1768440357.2266622,,,,,,,8.73,,lost
2,1768440357.3718102,,,,,,,9.46,,lost
3,1768440357.512735,,,,,,,9.75,,lost
4,1768440357.657865,,,,,,,9.78,,lost
5,1768440357.9059157,,,,,,,9.06,,lost
6,1768440358.1380894,,,,,,,8.62,,lost
8,1768440358.5532613,,,,,,,8.35,,lost
9,1768440358.7685823,,,,,,,8.24,,lost
10,1768440358.9794564,,,,,,,8.26,,lost
12,1768440359.3357244,,,,,,,8.35,,lost
13,1768440359.5067399,,,,,,,8.43,,lost
14,1768440359.6604836,,,,,,,8.49,,lost
15,1768440359.8328364,,,,,,,8.46,,lost
17,1768440360.1568658,,,,,,,8.51,,lost
18,1768440360.3110836,,,,,,,8.60,,lost
19,1768440360.4790664,,,,,,,8.60,,lost
20,1768440360.63893,,,,,,,8.59,,lost
21,1768440360.7687867,,,,,,,8.70,,lost
22,1768440360.9001634,,,,,,,8.78,,lost
23,1768440361.0473616,,,,,,,8.83,,lost
24,1768440361.220462,,,,,,,8.82,,lost
25,1768440361.4119017,,,,,,,8.77,,lost
26,1768440361.5621479,,,,,,,8.81,,lost
27,1768440361.7017307,,,,,,,8.88,,lost
28,1768440361.8277717,,,,,,,8.96,,lost
30,1768440362.0974524,,,,,,,9.09,,lost
31,1768440362.2426932,,,,,,,9.14,,lost
32,1768440362.3865964,,,,,,,9.15,,lost
33,1768440362.5536034,,,,,,,9.12,,lost
34,1768440362.7158082,,,,,,,9.10,,lost
35,1768440362.8807828,,,,,,,9.19,,lost
37,1768440363.2430532,,,,,,,9.31,,lost
38,1768440363.3886247,,,,,,,9.40,,lost
39,1768440363.5284483,,,,,,,9.53,,lost
40,1768440363.6971323,,,,,,,9.55,,lost
41,1768440363.844852,,,,,,,9.59,,lost
42,1768440363.9837213,,,,,,,9.68,,lost
43,1768440364.118005,,,,,,,9.72,,lost
44,1768440364.2511375,,,,,,,9.77,,lost
45,1768440364.3877559,,,,,,,9.86,,lost
46,1768440364.5160282,,,,,,,9.95,,lost
47,1768440364.669326,,,,,,,9.95,,lost
48,1768440364.828157,,,,,,,9.89,,lost
49,1768440365.0137322,,,,,,,9.82,,lost
50,1768440365.1661491,,,,,,,9.86,,lost
51,1768440365.3190706,,,,,,,9.82,,lost
52,1768440365.4826548,,,,,,,9.77,,lost
53,1768440365.6138546,,,,,,,9.82,,lost
54,1768440365.7790303,,,,,,,9.85,,lost
55,1768440365.9450157,,,,,,,9.91,,lost
56,1768440366.1105914,,,,,,,9.85,,lost
57,1768440366.2738628,,,,,,,9.80,,lost
58,1768440366.45425,,,,,,,9.70,,lost
59,1768440366.6076114,,,,,,,9.65,,lost
60,1768440366.7929516,,,,,,,9.55,,lost
61,1768440366.9466689,,,,,,,9.53,,lost
62,1768440367.1310446,,,,,,,9.45,,lost
63,1768440367.3126192,,,,,,,9.42,,lost
64,1768440367.4566958,,,,,,,9.47,,lost
65,1768440367.5935,,,,,,,9.54,,lost
66,1768440367.7253425,,,,,,,9.66,,lost
67,1768440367.8800325,,,,,,,9.70,,lost
68,1768440368.0260828,,,,,,,9.68,,lost
69,1768440368.1983068,,,,,,,9.62,,lost
70,1768440368.355218,,,,,,,9.65,,lost
71,1768440368.5136535,,,,,,,9.63,,lost
72,1768440368.6820374,,,,,,,9.57,,lost
73,1768440368.84449,,,,,,,9.50,,lost
74,1768440369.0206342,,,,,,,9.43,,lost
75,1768440369.1838243,,,,,,,9.40,,lost
76,1768440369.3523927,,,,,,,9.32,,lost
77,1768440369.5240448,,,,,,,9.35,,lost
78,1768440369.7363145,,,,,,,9.27,,lost
79,1768440369.9142337,,,,,,,9.34,,lost
80,1768440370.0686433,,,,,,,9.32,,lost
81,1768440370.2355917,,,,,,,9.28,,lost
82,1768440370.3725333,,,,,,,9.31,,lost
83,1768440370.5306327,,,,,,,9.25,,lost
84,1768440370.7003698,,,,,,,9.24,,lost
85,1768440370.8711123,,,,,,,9.22,,lost
86,1768440371.0411727,,,,,,,9.24,,lost
87,1768440371.1878672,,,,,,,9.25,,lost
88,1768440371.3236935,,,,,,,9.34,,lost
89,1768440371.4576771,,,,,,,9.37,,lost
90,1768440371.5919666,,,,,,,9.47,,lost
91,1768440371.7220674,,,,,,,9.53,,lost
92,1768440371.8596811,,,,,,,9.62,,lost
93,1768440372.0467174,,,,,,,9.55,,lost
94,1768440372.2426078,,,,,,,9.41,,lost
95,1768440372.413111,,,,,,,9.36,,lost
96,1768440372.5807273,,,,,,,9.30,,lost
97,1768440372.7680361,,,,,,,9.25,,lost
98,1768440372.9488358,,,,,,,9.13,,lost
99,1768440373.1181543,,,,,,,9.13,,lost
100,1768440373.3014905,,,,,,,9.06,,lost
101,1768440373.478126,,,,,,,9.01,,lost
102,1768440373.6379228,,,,,,,9.00,,lost
103,1768440373.7981827,,,,,,,9.02,,lost
104,1768440373.9728127,,,,,,,9.01,,lost
105,1768440374.1140606,,,,,,,9.05,,lost
106,1768440374.2491317,,,,,,,9.12,,lost
107,1768440374.4017246,,,,,,,9.12,,lost
108,1768440374.5432255,,,,,,,9.26,,lost
109,1768440374.6943796,,,,,,,9.31,,lost
110,1768440374.8572557,,,,,,,9.35,,lost
111,1768440375.0232556,,,,,,,9.36,,lost
112,1768440375.1677077,,,,,,,9.34,,lost
113,1768440375.3370693,,,,,,,9.35,,lost
114,1768440375.5012212,,,,,,,9.34,,lost
115,1768440375.6598265,,,,,,,9.39,,lost
116,1768440375.8100128,,,,,,,9.46,,lost
117,1768440375.9558296,,,,,,,9.46,,lost
118,1768440376.1126187,,,,,,,9.43,,lost
